Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Capacitance
10446,-0.54,-0.33,0.05,0.07,-58.59,167.14,483
10466,-0.49,-0.35,0.0,-98.29,-110.29,204.84,480
10486,-0.48,-0.72,0.04,-123.28,-103.66,225.68,480
10506,-0.51,-1.06,0.06,-76.81,-76.64,226.15,481
10526,-0.55,-1.0,0.19,-41.26,-74.92,228.24,481
10546,-0.51,-0.74,0.18,-31.58,-68.92,230.7,481
10566,-0.59,-0.61,0.19,-33.43,-55.01,236.26,481
10587,-0.75,-0.58,0.15,-33.43,-50.41,233.77,480
10606,-0.99,-0.45,0.24,-30.27,-39.51,223.07,478
10627,-0.94,-0.49,0.15,-5.64,-27.65,174.32,477
10646,-0.81,-0.33,-0.01,29.47,-1.6,136.09,477
10667,-0.97,0.03,0.05,38.13,18.83,106.38,477
10686,-1.04,0.22,0.03,3.48,0.05,51.68,477
10706,-1.0,0.13,0.05,-17.72,-3.11,7.28,476
10726,-0.93,-0.22,0.06,-14.96,0.38,-42.03,476
10746,-0.85,-0.37,0.08,-3.92,11.01,-79.74,476
10766,-1.13,-0.35,0.07,7.88,36.67,-84.96,477
10786,-1.66,-0.01,0.48,33.88,33.07,-47.76,477
10806,-1.09,0.08,0.06,-25.46,-8.35,-65.33,477
10826,-0.56,-0.24,-0.17,-88.38,-23.24,-78.99,476
10846,-0.61,-0.52,0.11,-100.06,-0.66,-53.21,477
10866,-0.81,-0.95,0.13,-24.24,36.03,-42.96,477
10886,-0.92,-0.48,0.29,24.42,40.09,-48.87,478
10906,-0.89,-0.03,0.27,5.19,29.85,-42.78,478
10927,-0.85,-0.31,0.04,1.33,33.86,-46.67,477
10946,-0.85,-0.42,-0.03,15.65,32.99,-43.53,476
10967,-0.93,-0.43,-0.06,34.77,43.21,-50.18,476
10986,-0.98,-0.25,-0.11,27.9,31.99,-43.73,475
11006,-0.89,-0.22,-0.04,10.63,25.5,-42.5,475
11026,-0.93,-0.36,0.0,4.14,20.38,-41.83,475
11046,-0.9,-0.34,-0.03,3.19,16.67,-38.73,475
11066,-0.91,-0.38,-0.06,3.33,16.47,-35.28,476
11086,-0.89,-0.4,-0.05,-0.13,14.6,-32.69,476
11106,-0.88,-0.46,0.03,6.94,14.47,-32.83,476
11126,-0.92,-0.43,0.07,24.16,17.88,-35.68,476
11146,-0.9,-0.31,0.02,32.54,18.98,-37.54,477
11166,-0.94,-0.23,0.01,35.5,19.85,-40.89,477
11186,-0.92,-0.17,-0.06,32.87,19.76,-40.32,477
11206,-0.93,-0.18,-0.05,23.99,17.97,-43.28,477
11227,-0.9,-0.22,0.02,17.91,15.77,-46.44,477
11246,-0.9,-0.25,0.09,20.45,17.18,-52.7,478
11267,-0.91,-0.28,0.05,23.36,16.29,-56.2,478
11286,-0.89,-0.26,-0.04,10.2,11.54,-55.63,478
11307,-0.86,-0.36,-0.03,-4.18,8.98,-59.33,478
11326,-0.89,-0.44,0.07,3.24,14.4,-65.74,479
11346,-0.9,-0.37,0.05,13.99,16.31,-69.19,480
11366,-0.95,-0.26,0.08,7.41,13.01,-74.0,481
11386,-1.0,-0.25,0.09,2.22,12.25,-81.97,482
11406,-1.06,-0.24,0.07,13.94,20.2,-94.7,484
11426,-1.18,-0.34,-0.11,26.87,24.15,-109.74,486
11446,-1.67,-0.45,0.19,38.81,30.76,-117.94,489
11466,-1.76,-0.37,0.39,72.81,37.86,-135.3,493
11486,-1.38,-0.15,0.46,94.08,48.73,-150.12,495
11506,-1.02,-0.24,0.29,64.25,28.38,-132.29,492
11526,-0.52,-0.66,-0.04,-4.96,-19.97,-108.6,487
11546,-0.47,-0.76,-0.57,-63.05,-52.99,-76.06,482
11567,-0.27,-1.07,-0.47,-47.55,-15.66,-70.31,482
11586,-0.48,-1.13,-0.14,33.32,17.24,-34.83,484
11607,-0.41,-0.97,0.04,75.15,-3.43,26.93,484
11626,-0.32,-0.59,0.01,71.04,-16.62,75.63,482
11646,-0.39,-0.55,-0.02,36.0,-35.45,111.21,482
11666,-0.4,-0.52,-0.02,-23.11,-60.56,136.96,480
11686,-0.42,-0.61,0.04,-70.5,-83.08,170.38,479
11706,-0.37,-0.79,0.07,-77.64,-87.05,199.46,479
11726,-0.36,-0.93,0.06,-28.23,-53.65,216.76,480
11746,-0.49,-0.86,0.12,-1.17,-42.08,223.33,481
11766,-0.54,-0.61,0.18,-15.68,-51.74,240.73,482
11786,-0.66,-0.47,0.21,-40.18,-46.84,255.71,482
11806,-0.87,-0.58,0.15,-52.82,-51.88,247.43,481
11826,-0.91,-0.62,0.15,-36.56,-43.97,233.57,479
11846,-0.91,-0.29,0.2,-8.18,-18.79,228.5,478
11867,-0.96,-0.27,0.08,-8.73,-25.6,180.08,477
11886,-1.01,-0.38,0.07,11.0,-3.74,143.43,477
11907,-0.91,-0.12,0.07,30.94,8.26,105.27,477
11926,-1.0,0.11,0.03,23.58,10.73,58.69,476
11947,-1.06,0.11,0.05,-0.3,1.79,10.38,476
11966,-0.91,-0.02,0.02,-19.6,-3.24,-39.83,476
11986,-0.88,-0.13,-0.01,-37.52,2.67,-79.37,475
12006,-0.87,-0.51,0.11,-49.57,6.9,-97.37,476
12026,-1.62,-0.29,0.73,18.48,52.38,-31.44,476
12046,-1.04,0.03,0.24,-7.2,0.75,-51.71,478
12066,-0.64,-0.21,0.01,-64.41,-16.06,-81.36,477
12086,-0.77,-0.39,0.04,-99.26,-3.66,-45.74,477
12106,-0.83,-0.94,-0.08,-45.72,25.36,-45.44,477
12126,-0.82,-0.84,0.17,38.74,49.15,-63.95,478
12146,-0.87,-0.16,0.24,47.45,46.02,-51.34,479
12166,-0.96,-0.12,0.13,28.87,38.35,-43.7,479
12186,-0.85,-0.32,-0.13,14.94,28.95,-38.96,478
12207,-0.91,-0.53,-0.1,30.97,37.8,-45.36,477
12226,-0.98,-0.3,-0.01,33.88,30.9,-38.64,477
12247,-0.89,-0.26,-0.03,16.28,23.16,-32.93,477
12266,-0.83,-0.46,0.05,12.48,20.54,-32.31,477
12286,-0.89,-0.61,0.1,37.74,28.08,-36.63,478
12306,-0.9,-0.34,0.01,47.93,27.71,-30.7,478
12326,-0.92,-0.2,-0.1,35.15,23.19,-27.05,477
12346,-0.94,-0.21,-0.08,27.44,19.96,-27.34,477
12366,-0.94,-0.18,-0.03,28.34,19.24,-30.03,477
12386,-0.96,-0.08,-0.01,19.56,15.54,-29.88,478
12406,-0.96,-0.11,-0.01,9.13,11.79,-35.22,478
12426,-0.93,-0.1,-0.05,1.71,10.0,-37.25,478
12446,-0.9,-0.11,-0.06,-5.29,7.65,-39.94,478
12466,-0.93,-0.23,-0.0,-6.19,6.08,-45.12,478
12486,-0.87,-0.31,-0.0,-6.18,4.25,-46.86,478
12507,-0.84,-0.32,-0.0,-4.87,3.45,-47.79,478
12526,-0.89,-0.33,-0.0,-4.19,2.37,-50.61,478
12547,-0.9,-0.35,-0.07,-11.84,-0.85,-49.27,478
12566,-0.83,-0.39,-0.06,-21.83,-5.66,-49.41,478
